participant,condition,time,purity,RI,NMI
TR5,TR,30,0.446743433,0.85550301,0.336313562
TR5,TR,35,0.465095358,0.872185366,0.350290747
TR5,TR,40,0.465095358,0.872185366,0.350290747
TR6,TR,5,0.210687298,0.62045232,0.08952057
TR6,TR,10,0.289852465,0.760716881,0.142224862
TR6,TR,15,0.324397265,0.821686246,0.192415512
TR6,TR,20,0.380532566,0.859662461,0.234276231
TR6,TR,25,0.39438647,0.866658814,0.248286444
TR6,TR,30,0.427132062,0.886915109,0.295514604
TR6,TR,35,0.427851745,0.885567176,0.306128763
TR6,TR,40,0.428211587,0.886564981,0.316923694
TR7,TR,5,0.39654552,0.799594286,0.299157524
TR7,TR,10,0.43972652,0.848043467,0.347421283
TR7,TR,15,0.418495862,0.833949096,0.310636033
TR7,TR,20,0.417416337,0.842297462,0.325551379
TR7,TR,25,0.43972652,0.848301968,0.334361265
TR7,TR,30,0.435228499,0.842532456,0.337415165
TR7,TR,35,0.485606333,0.867515713,0.3658597
TR7,TR,40,0.469593379,0.854212968,0.356898437
TR8,TR,5,0.129543001,0.500551289,0.014115051
TR8,TR,10,0.169845268,0.748338768,0.069249674
TR8,TR,15,0.191435768,0.788728648,0.081777513
TR8,TR,20,0.227060094,0.809060382,0.135933219
TR8,TR,25,0.32547679,0.841529407,0.208227651
TR8,TR,30,0.452320979,0.879780829,0.316835994
TR8,TR,35,0.465095358,0.883565868,0.335642103
TR8,TR,40,0.491543721,0.898313808,0.366067266
TR9,TR,5,0.171464556,0.780284445,0.066335301
TR9,TR,10,0.230838431,0.812974542,0.119169289
TR9,TR,15,0.324037424,0.851834917,0.191626195
TR9,TR,20,0.392767182,0.879373975,0.25313303
TR9,TR,25,0.444944225,0.891497473,0.304493855
TR9,TR,30,0.451781216,0.895333151,0.316448292
TR9,TR,35,0.477869737,0.897845632,0.355156824
TR9,TR,40,0.479309104,0.900736086,0.354945974
TR10,TR,5,0.168945664,0.71176488,0.056016958
TR10,TR,10,0.287333573,0.81240632,0.180581887
TR10,TR,15,0.341309824,0.832861671,0.235478371
TR10,TR,20,0.396905362,0.855478144,0.284553458
TR10,TR,25,0.405901403,0.877712694,0.297203081
TR10,TR,30,0.467974091,0.889373196,0.357288205
TR10,TR,35,0.468154012,0.893847679,0.358465576
TR10,TR,40,0.474451241,0.89567907,0.363591195
