seed,strategy,cycle,num_spans,max_docs,f1,mentions
8,clust-ent,1,20,1,0.4453723638592771,0.5772518080210388
8,clust-ent,2,20,1,0.4647505744008333,0.591861898890259
8,clust-ent,3,20,1,0.4752985839728192,0.6070806732443412
8,clust-ent,4,20,1,0.4946369149019246,0.6418255343731947
8,clust-ent,5,20,1,0.5012901102624182,0.6525625744934445
8,clust-ent,6,20,1,0.5143072843390467,0.6600660066006601
8,clust-ent,7,20,1,0.5195360555314208,0.6601884570082449
8,clust-ent,8,20,1,0.5241011660343718,0.6650062266500623
8,clust-ent,9,20,1,0.5313889928203182,0.6701700154559506
8,clust-ent,10,20,1,0.5386580633012467,0.6860569715142428
8,clust-ent,11,20,1,0.5447028527952735,0.6865942028985507
8,clust-ent,12,20,1,0.5426277854022574,0.6944281524926686
8,clust-ent,13,20,1,0.558477237978613,0.7238636363636365
8,clust-ent,14,20,1,0.5699312322690194,0.7267657992565055
8,clust-ent,15,20,1,0.5639904506517351,0.7234513274336283
8,clust-ent,16,20,1,0.5602956070460327,0.7038777908343126
8,clust-ent,17,20,1,0.5697833583622407,0.742320819112628
8,clust-ent,18,20,1,0.5693722918163716,0.7238470191226096
8,clust-ent,19,20,1,0.572970475112391,0.7359831534614372
8,clust-ent,20,20,1,0.587283811105668,0.7537717050953602
8,cond-ent,1,20,1,0.3965191126350605,0.5227606461086637
8,cond-ent,2,20,1,0.4429906112369422,0.5665813060179258
8,cond-ent,3,20,1,0.4491457655695191,0.5687394957983194
8,cond-ent,4,20,1,0.48099901704718656,0.6091338582677166
8,cond-ent,5,20,1,0.42699725141592054,0.560146252285192
8,cond-ent,6,20,1,0.49778571905545643,0.6369142492827543
8,cond-ent,7,20,1,0.47947981179916144,0.6293235384144474
8,cond-ent,8,20,1,0.49213851496829397,0.6523579201934704
8,cond-ent,9,20,1,0.4865166468348148,0.6452229299363057
8,cond-ent,10,20,1,0.5082231416347925,0.6632591701743836
8,cond-ent,11,20,1,0.5035315645906246,0.6727158948685857
8,cond-ent,12,20,1,0.5160547889781426,0.6777367773677737
8,cond-ent,13,20,1,0.5071242111732969,0.6608499859273853
8,cond-ent,14,20,1,0.5320531610714139,0.6914085330216249
8,cond-ent,15,20,1,0.5403348674664867,0.7098307098307098
8,cond-ent,16,20,1,0.5296566710461552,0.7015052541891509
8,cond-ent,17,20,1,0.5322522073141083,0.7141119221411192
8,cond-ent,18,20,1,0.5341182174788793,0.6969033468877072
8,cond-ent,19,20,1,0.5335401305691351,0.6970074812967582
8,cond-ent,20,20,1,0.5457443337113447,0.709849157054126
8,joint-ent,1,20,1,0.4038276673123806,0.5320630267497252
8,joint-ent,2,20,1,0.4078107324328872,0.543356903609974
8,joint-ent,3,20,1,0.410194392347014,0.586145648312611
8,joint-ent,4,20,1,0.38279483562159394,0.6048275862068965
8,joint-ent,5,20,1,0.4697877627487606,0.6197183098591549
8,joint-ent,6,20,1,0.49441160989161403,0.6365489130434783
8,joint-ent,7,20,1,0.4902583847830552,0.638917089678511
8,joint-ent,8,20,1,0.5140731801978452,0.6606425702811245
8,joint-ent,9,20,1,0.5151934096882621,0.6698466780238501
8,joint-ent,10,20,1,0.5300801383967345,0.6851604278074866
8,joint-ent,11,20,1,0.5268407315149393,0.6855969893944578
8,joint-ent,12,20,1,0.551366549963355,0.71686945083854
8,joint-ent,13,20,1,0.5462221480700807,0.721119427269769
8,joint-ent,14,20,1,0.5556819667584499,0.7470106985525489
8,joint-ent,15,20,1,0.552184669002235,0.7346679377184621
