seed,strategy,cycle,num_spans,max_docs,f1,mentions,entities,non-entities,pronouns,singletons
67,joint-ent,7,50,1,0.7107458382049101,0.8106006171013145,194.0,156.0,24.0,145.0
67,joint-ent,8,50,1,0.7021808866067368,0.8105087590698069,219.0,181.0,30.0,163.0
67,joint-ent,9,50,1,0.7058309792246561,0.8126711387534482,248.0,202.0,35.0,187.0
67,joint-ent,10,50,1,0.7201838576056852,0.8215602062353646,275.0,225.0,39.0,212.0
67,joint-ent,11,50,1,0.7225732391791202,0.8164642087060481,305.0,245.0,44.0,232.0
67,joint-ent,12,50,1,0.728089800045098,0.8222320899940795,330.0,270.0,49.0,249.0
67,joint-ent,13,50,1,0.7313639362903569,0.8273944800904833,354.0,296.0,55.0,267.0
67,joint-ent,14,50,1,0.7198561693965903,0.8315459391658828,394.0,306.0,74.0,286.0
67,joint-ent,15,50,1,0.6955045801702487,0.8309744456699893,410.0,340.0,75.0,297.0
67,joint-ent,16,50,1,0.7237339864479461,0.8282193766610293,441.0,359.0,76.0,312.0
67,joint-ent,17,50,1,0.7293641276593753,0.8245340461869756,465.0,385.0,77.0,334.0
67,joint-ent,18,50,1,0.7250729555632525,0.8326717621722055,492.0,408.0,78.0,360.0
67,joint-ent,19,50,1,0.7391796829751692,0.8361328854050017,529.0,421.0,84.0,386.0
67,joint-ent,20,50,1,0.7372641383760706,0.8345116114900287,562.0,438.0,84.0,412.0
67,joint-ent,21,50,1,0.7391076360435425,0.8344082039888501,589.0,461.0,89.0,429.0
67,joint-ent,22,50,1,0.7313767495257878,0.8379128849102739,624.0,476.0,105.0,447.0
67,joint-ent,23,50,1,0.7452962789281323,0.8413023866152711,650.0,500.0,109.0,471.0
67,joint-ent,24,50,1,0.7421279787768195,0.8421095708220371,674.0,526.0,110.0,486.0
67,joint-ent,25,50,1,0.7254839266159637,0.8380283890317944,708.0,542.0,122.0,505.0
67,joint-ent,26,50,1,0.7357229787304177,0.841290829080842,742.0,558.0,133.0,527.0
67,joint-ent,27,50,1,0.7379221684672953,0.8442766727871409,761.0,589.0,134.0,543.0
67,joint-ent,28,50,1,0.7262474457261384,0.8345010152985828,801.0,599.0,147.0,565.0
67,joint-ent,29,50,1,0.700757018503365,0.8386836135367786,840.0,610.0,165.0,574.0
67,joint-ent,30,50,1,0.7116298922101093,0.8430934846556651,874.0,626.0,179.0,587.0
67,li-ent,1,50,1,0.582630290227616,0.6816900195863197,48.0,2.0,12.0,29.0
67,li-ent,2,50,1,0.5664222193342564,0.6570171318385206,87.0,13.0,28.0,36.0
67,li-ent,3,50,1,0.5966554527855817,0.7072760256158066,128.0,22.0,54.0,52.0
67,li-ent,4,50,1,0.5690827822551094,0.6950007101264026,164.0,36.0,72.0,64.0
67,li-ent,5,50,1,0.6302266526054932,0.7358077401322668,207.0,43.0,81.0,87.0
67,li-ent,6,50,1,0.6140057736066498,0.721522867737948,251.0,49.0,83.0,112.0
67,ment-ent,1,50,1,0.6517030430836817,0.7441104626800078,43.0,7.0,29.0,17.0
67,ment-ent,2,50,1,0.6863945768533765,0.7992781402500883,66.0,34.0,31.0,36.0
67,ment-ent,3,50,1,0.6925255897648772,0.809646103515521,93.0,57.0,32.0,62.0
