Tandem, Singleword
0.663, 0.59
0.643, 0.5905
0.6715, 0.598
0.654, 0.561
0.6685, 0.6155
0.6735, 0.595
0.6825, 0.562
0.637, 0.5705
0.68, 0.602
0.6425, 0.588
0.676, 0.613
0.6685, 0.576
0.606, 0.5835
0.6325, 0.5845
0.652, 0.581
0.6365, 0.586
0.6655, 0.585
0.696, 0.5845
0.6695, 0.5675
0.6585, 0.5815
