Tandem, Singleword, Gram-Schmidt
1.7886206393462543, 0.8248355268003972, 0.5565323675456704
1.939146971857279, 0.822030272695608, 0.5628045785676399
2.009569489870104, 1.6700131519465742, 0.5737099932412478
2.2073695789295975, 1.2298102934400983, 0.5718974734244495
1.6265511720204675, 0.7535110102930155, 0.5601681756195214
1.6857377382243597, 0.8944314385246457, 0.5761367132629356
1.9281079137198316, 1.5551825394281924, 0.5533702206808294
2.91462063111565, 0.6766507948913272, 0.5747806561141402
1.871372673933735, 0.7787673506764687, 0.5565323675456704
2.079675363076206, 0.7365663782036833, 0.5630252683264908
1.5092256791014385, 0.7005009127265299, 0.5747806561141402
1.9177239114832565, 0.763327550355686, 0.5591899243110552
1.5621483831057497, 1.231172558693256, 0.5601681756195214
2.451600039428848, 1.4894242842473344, 0.5703142332014359
2.2591491478688708, 0.70148837656955, 0.5664106983431407
1.6653265655027667, 0.7020138274310316, 0.5533702206808293
1.8543232879537292, 0.8728414378275382, 0.5617270226816324
2.1612944962707554, 0.6167690992425475, 0.5565323675456703
1.7509616473837684, 0.6499540997293854, 0.5664106983431407
1.9872128676305008, 0.7354576747996202, 0.5718974734244496
