Tandem, Singleword
0.4449244023028478, 0.34657398439107573
0.4081779725204715, 0.342536087919066
0.4513818247679795, 0.3555231742630078
0.42475418055812825, 0.31488665263442417
0.4468170257794151, 0.37487544526414507
0.4567096854385037, 0.34806249910575127
0.46141225699543625, 0.30873091138937253
0.40629656716853285, 0.3188318953959693
0.46004588565007504, 0.36394678453732443
0.4122671310122301, 0.3462638477029711
0.45291336448184677, 0.3765677206872954
0.44623319626890956, 0.3262515331590784
0.3613450942862345, 0.3388648261720059
0.3989308824320218, 0.33829196007852647
0.4232409840410172, 0.32789353587309494
0.4088962585343334, 0.3369868517981966
0.45117757755120474, 0.3370243563457813
0.4919792106983447, 0.3417004160942544
0.4544268081127924, 0.3197714161957204
0.429328355765276, 0.33170712646960165
