Tandem, Singleword, Gram-Schmidt
1.310573931147617, 0.44765284875865147, 0.207980204815665
1.4904587323011849, 0.44976316962179014, 0.2127044575754335
1.482679938409434, 1.3096109912355385, 0.2241793663468119
1.8001445768251896, 0.8206001933521732, 0.22535952176404472
1.1810080838037023, 0.38088403932428305, 0.21168310838670296
1.219651350810434, 0.5053936707210972, 0.22607281724752176
1.4559004235245685, 1.1626839522806887, 0.2046468789378349
2.389355303041111, 0.31833438352899956, 0.22526716298662292
1.4142823418795163, 0.3878592418951853, 0.20798020481566498
1.5822156443717843, 0.3619946686692441, 0.21347979469522257
1.097802416463675, 0.31400295998984284, 0.2252671629866229
1.464130407547603, 0.3833138064552798, 0.2104323441127535
1.1538832862225374, 0.8476063528109783, 0.21168310838670296
2.015473370311585, 1.120826713750316, 0.2214071899550199
1.700392884250023, 0.32748878103078943, 0.21824125549591508
1.22400042995123, 0.3306495287977822, 0.2046468789378349
1.3502456832721392, 0.48818701986139634, 0.21283635981315432
1.6570329924303986, 0.25550509673081107, 0.20798020481566498
1.2717604444907757, 0.29387273789035634, 0.21824125549591508
1.5277259528534695, 0.3530047194617969, 0.22535952176404467
