Tandem, Singleword
2.7024178285389033, 3.2712430604166234
2.9153980479108057, 3.2127218859444246
2.661110777761846, 3.1750516618670113
2.764488970220531, 3.392318750858725
2.668693890566809, 3.1126000248114236
2.6359753473641327, 3.244928308635721
2.615670577791112, 3.4561857062181645
2.8317927572678214, 3.394975124572983
2.6112741409142317, 3.179240087951324
2.865560460171568, 3.2781592662735988
2.613177935686009, 3.1325312330299293
2.7136835375085946, 3.3395567795816232
3.157310184945833, 3.2922090815784752
2.929765717344072, 3.3413299671902843
2.7791595346277687, 3.334143351110243
2.8802294164843336, 3.252252720499091
2.7079057400611237, 3.3004378491370243
2.4710742518786564, 3.2655924134632466
2.6112622223374333, 3.3943521230476845
2.7802700651331365, 3.328710815102291
