,Confidence,Effective Proportion,Average Accuracy,$\Delta$ Accuracy,Test Needed
0,0.95,$\rho=0.10$,50.0,1.0,33397
1,0.95,$\rho=0.10$,50.0,1.0999999999999999,27336
2,0.95,$\rho=0.10$,50.0,1.2,23289
3,0.95,$\rho=0.10$,50.0,1.3,19530
4,0.95,$\rho=0.10$,50.0,1.4000000000000001,17308
5,0.95,$\rho=0.10$,50.0,1.5,14745
6,0.95,$\rho=0.10$,50.0,1.6,12890
7,0.95,$\rho=0.10$,50.0,1.7000000000000002,12164
8,0.95,$\rho=0.10$,50.0,1.8000000000000003,10541
9,0.95,$\rho=0.10$,50.0,1.9,10169
10,0.95,$\rho=0.10$,50.0,2.0,8581
11,0.95,$\rho=0.10$,50.0,2.1,7738
12,0.95,$\rho=0.10$,50.0,2.1999999999999997,7004
13,0.95,$\rho=0.10$,50.0,2.3,6560
14,0.95,$\rho=0.10$,50.0,2.4,6001
15,0.95,$\rho=0.10$,50.0,2.5,5609
16,0.95,$\rho=0.10$,80.0,0.9999999999999999,22657
17,0.95,$\rho=0.10$,50.0,2.6,4979
18,0.95,$\rho=0.10$,80.0,1.0399999999999998,20262
19,0.95,$\rho=0.10$,50.0,2.7,4775
20,0.95,$\rho=0.10$,80.0,1.0799999999999996,18742
21,0.95,$\rho=0.10$,50.0,2.8000000000000003,4296
22,0.95,$\rho=0.10$,80.0,1.1199999999999999,17572
23,0.95,$\rho=0.10$,50.0,2.9000000000000004,3906
24,0.95,$\rho=0.10$,80.0,1.1599999999999997,16488
25,0.95,$\rho=0.10$,50.0,3.0,3790
26,0.95,$\rho=0.10$,80.0,1.1999999999999997,15209
27,0.95,$\rho=0.10$,50.0,3.1,3711
28,0.95,$\rho=0.10$,80.0,1.2399999999999998,14528
29,0.95,$\rho=0.10$,50.0,3.2,3516
30,0.95,$\rho=0.10$,80.0,1.2799999999999998,13689
31,0.95,$\rho=0.10$,50.0,3.3000000000000003,3369
32,0.95,$\rho=0.10$,80.0,1.3199999999999996,12891
33,0.95,$\rho=0.10$,50.0,3.4000000000000004,3127
34,0.95,$\rho=0.10$,80.0,1.3599999999999997,12525
35,0.95,$\rho=0.10$,50.0,3.5000000000000004,2872
36,0.95,$\rho=0.10$,80.0,1.3999999999999997,11193
37,0.95,$\rho=0.10$,50.0,3.6000000000000005,2728
38,0.95,$\rho=0.10$,80.0,1.4399999999999995,10543
39,0.95,$\rho=0.10$,50.0,3.6999999999999997,2747
40,0.95,$\rho=0.10$,80.0,1.4799999999999998,10485
41,0.95,$\rho=0.10$,50.0,3.8,2540
42,0.95,$\rho=0.10$,80.0,1.5199999999999996,9787
43,0.95,$\rho=0.10$,50.0,3.9,2302
44,0.95,$\rho=0.10$,80.0,1.5599999999999996,9376
45,0.95,$\rho=0.10$,50.0,4.0,2345
46,0.95,$\rho=0.10$,80.0,1.5999999999999996,8795
47,0.95,$\rho=0.10$,50.0,4.1000000000000005,2121
48,0.95,$\rho=0.10$,80.0,1.6399999999999997,8235
49,0.95,$\rho=0.10$,50.0,4.2,1951
50,0.95,$\rho=0.10$,80.0,1.6799999999999995,7812
51,0.95,$\rho=0.10$,50.0,4.300000000000001,1925
52,0.95,$\rho=0.10$,80.0,1.7199999999999998,7537
53,0.95,$\rho=0.10$,50.0,4.3999999999999995,1800
