,Confidence,Effective Proportion,Average Accuracy,$\Delta$ Accuracy,Test Needed
0,0.95,$\rho=1.00$,50.0,1.0,3516
1,0.95,$\rho=1.00$,50.0,1.0999999999999999,2845
2,0.95,$\rho=1.00$,50.0,1.2,2295
3,0.95,$\rho=1.00$,50.0,1.3,1953
4,0.95,$\rho=1.00$,50.0,1.4000000000000001,1751
5,0.95,$\rho=1.00$,50.0,1.5,1508
6,0.95,$\rho=1.00$,50.0,1.6,1374
7,0.95,$\rho=1.00$,50.0,1.7000000000000002,1215
8,0.95,$\rho=1.00$,50.0,1.8000000000000003,1053
9,0.95,$\rho=1.00$,50.0,1.9,971
10,0.95,$\rho=1.00$,50.0,2.0,889
11,0.95,$\rho=1.00$,75.0,1.0,2598
12,0.95,$\rho=1.00$,50.0,2.1,807
13,0.95,$\rho=1.00$,75.0,1.05,2381
14,0.95,$\rho=1.00$,50.0,2.1999999999999997,734
15,0.95,$\rho=1.00$,75.0,1.0999999999999999,2222
16,0.95,$\rho=1.00$,50.0,2.3,635
17,0.95,$\rho=1.00$,75.0,1.15,1961
18,0.95,$\rho=1.00$,50.0,2.4,611
19,0.95,$\rho=1.00$,75.0,1.2,1857
20,0.95,$\rho=1.00$,50.0,2.5,577
21,0.95,$\rho=1.00$,75.0,1.25,1663
22,0.95,$\rho=1.00$,50.0,2.6,517
23,0.95,$\rho=1.00$,75.0,1.3,1522
24,0.95,$\rho=1.00$,50.0,2.7,513
25,0.95,$\rho=1.00$,75.0,1.35,1424
26,0.95,$\rho=1.00$,50.0,2.8000000000000003,431
27,0.95,$\rho=1.00$,75.0,1.4000000000000001,1260
28,0.95,$\rho=1.00$,50.0,2.9000000000000004,418
29,0.95,$\rho=1.00$,75.0,1.4500000000000002,1260
30,0.95,$\rho=1.00$,50.0,3.0,404
31,0.95,$\rho=1.00$,75.0,1.5,1074
32,0.95,$\rho=1.00$,50.0,3.1,362
33,0.95,$\rho=1.00$,75.0,1.55,1100
34,0.95,$\rho=1.00$,50.0,3.2,341
35,0.95,$\rho=1.00$,75.0,1.6,1015
36,0.95,$\rho=1.00$,50.0,3.3000000000000003,330
37,0.95,$\rho=1.00$,75.0,1.6500000000000001,937
38,0.95,$\rho=1.00$,50.0,3.4000000000000004,307
39,0.95,$\rho=1.00$,75.0,1.7000000000000002,929
40,0.95,$\rho=1.00$,50.0,3.5000000000000004,287
41,0.95,$\rho=1.00$,75.0,1.7500000000000002,857
42,0.95,$\rho=1.00$,50.0,3.6000000000000005,269
43,0.95,$\rho=1.00$,75.0,1.8000000000000003,831
44,0.95,$\rho=1.00$,50.0,3.6999999999999997,261
45,0.95,$\rho=1.00$,75.0,1.8499999999999999,752
46,0.95,$\rho=1.00$,50.0,3.8,238
47,0.95,$\rho=1.00$,75.0,1.9,706
48,0.95,$\rho=1.00$,50.0,3.9,245
49,0.95,$\rho=1.00$,75.0,1.95,692
50,0.95,$\rho=1.00$,50.0,4.0,223
51,0.95,$\rho=1.00$,75.0,2.0,667
52,0.95,$\rho=1.00$,50.0,4.1000000000000005,217
53,0.95,$\rho=1.00$,75.0,2.0500000000000003,626
54,0.95,$\rho=1.00$,50.0,4.2,201
55,0.95,$\rho=1.00$,75.0,2.1,578
56,0.95,$\rho=1.00$,50.0,4.300000000000001,190
57,0.95,$\rho=1.00$,75.0,2.1500000000000004,605
58,0.95,$\rho=1.00$,50.0,4.3999999999999995,188
59,0.95,$\rho=1.00$,75.0,2.1999999999999997,537
60,0.95,$\rho=1.00$,50.0,4.5,178
61,0.95,$\rho=1.00$,75.0,2.25,520
62,0.95,$\rho=1.00$,50.0,4.6,167
63,0.95,$\rho=1.00$,75.0,2.3,510
64,0.95,$\rho=1.00$,50.0,4.7,164
65,0.95,$\rho=1.00$,75.0,2.35,477
66,0.95,$\rho=1.00$,50.0,4.8,155
67,0.95,$\rho=1.00$,75.0,2.4,457
68,0.95,$\rho=1.00$,50.0,4.9,152
69,0.95,$\rho=1.00$,75.0,2.45,436
70,0.95,$\rho=1.00$,50.0,5.0,142
71,0.95,$\rho=1.00$,75.0,2.5,421
72,0.95,$\rho=1.00$,90.0,0.9999999999999999,1220
73,0.95,$\rho=1.00$,50.0,5.1000000000000005,141
74,0.95,$\rho=1.00$,75.0,2.5500000000000003,402
75,0.95,$\rho=1.00$,90.0,1.0199999999999998,1271
76,0.95,$\rho=1.00$,50.0,5.2,132
77,0.95,$\rho=1.00$,75.0,2.6,398
78,0.95,$\rho=1.00$,90.0,1.0399999999999998,1159
79,0.95,$\rho=1.00$,50.0,5.3,129
80,0.95,$\rho=1.00$,75.0,2.65,373
81,0.95,$\rho=1.00$,90.0,1.0599999999999998,1120
82,0.95,$\rho=1.00$,50.0,5.4,119
83,0.95,$\rho=1.00$,75.0,2.7,367
84,0.95,$\rho=1.00$,90.0,1.0799999999999996,1094
85,0.95,$\rho=1.00$,50.0,5.5,121
86,0.95,$\rho=1.00$,75.0,2.75,352
87,0.95,$\rho=1.00$,90.0,1.0999999999999999,1050
88,0.95,$\rho=1.00$,50.0,5.6000000000000005,116
89,0.95,$\rho=1.00$,75.0,2.8000000000000003,335
90,0.95,$\rho=1.00$,90.0,1.1199999999999999,1002
91,0.95,$\rho=1.00$,50.0,5.7,114
92,0.95,$\rho=1.00$,75.0,2.85,333
93,0.95,$\rho=1.00$,90.0,1.1399999999999997,952
94,0.95,$\rho=1.00$,50.0,5.800000000000001,107
95,0.95,$\rho=1.00$,75.0,2.9000000000000004,311
96,0.95,$\rho=1.00$,90.0,1.1599999999999997,965
97,0.95,$\rho=1.00$,50.0,5.9,102
98,0.95,$\rho=1.00$,75.0,2.95,293
99,0.95,$\rho=1.00$,90.0,1.1799999999999997,930
100,0.95,$\rho=1.00$,50.0,6.0,104
101,0.95,$\rho=1.00$,75.0,3.0,300
102,0.95,$\rho=1.00$,90.0,1.1999999999999997,879
103,0.95,$\rho=1.00$,50.0,6.1,99
104,0.95,$\rho=1.00$,75.0,3.05,288
105,0.95,$\rho=1.00$,90.0,1.2199999999999998,852
106,0.95,$\rho=1.00$,50.0,6.2,96
107,0.95,$\rho=1.00$,75.0,3.1,281
108,0.95,$\rho=1.00$,90.0,1.2399999999999998,820
109,0.95,$\rho=1.00$,50.0,6.3,90
110,0.95,$\rho=1.00$,75.0,3.15,267
111,0.95,$\rho=1.00$,90.0,1.2599999999999996,806
112,0.95,$\rho=1.00$,50.0,6.4,92
113,0.95,$\rho=1.00$,75.0,3.2,272
114,0.95,$\rho=1.00$,90.0,1.2799999999999998,761
115,0.95,$\rho=1.00$,50.0,6.5,86
116,0.95,$\rho=1.00$,75.0,3.25,258
117,0.95,$\rho=1.00$,90.0,1.2999999999999998,772
118,0.95,$\rho=1.00$,50.0,6.6000000000000005,84
119,0.95,$\rho=1.00$,75.0,3.3000000000000003,245
120,0.95,$\rho=1.00$,90.0,1.3199999999999996,735
121,0.95,$\rho=1.00$,50.0,6.7,81
122,0.95,$\rho=1.00$,75.0,3.35,249
123,0.95,$\rho=1.00$,90.0,1.3399999999999996,714
124,0.95,$\rho=1.00$,50.0,6.800000000000001,80
125,0.95,$\rho=1.00$,75.0,3.4000000000000004,233
126,0.95,$\rho=1.00$,90.0,1.3599999999999997,686
127,0.95,$\rho=1.00$,50.0,6.9,78
128,0.95,$\rho=1.00$,75.0,3.45,227
129,0.95,$\rho=1.00$,90.0,1.3799999999999997,685
130,0.95,$\rho=1.00$,50.0,7.000000000000001,77
131,0.95,$\rho=1.00$,75.0,3.5000000000000004,220
132,0.95,$\rho=1.00$,90.0,1.3999999999999997,635
133,0.95,$\rho=1.00$,50.0,7.1000000000000005,72
134,0.95,$\rho=1.00$,75.0,3.5500000000000003,215
135,0.95,$\rho=1.00$,90.0,1.4199999999999997,630
136,0.95,$\rho=1.00$,50.0,7.200000000000001,72
137,0.95,$\rho=1.00$,75.0,3.6000000000000005,209
138,0.95,$\rho=1.00$,90.0,1.4399999999999995,619
139,0.95,$\rho=1.00$,50.0,7.3,71
140,0.95,$\rho=1.00$,75.0,3.65,203
141,0.95,$\rho=1.00$,90.0,1.4599999999999997,605
142,0.95,$\rho=1.00$,50.0,7.3999999999999995,68
143,0.95,$\rho=1.00$,75.0,3.6999999999999997,199
144,0.95,$\rho=1.00$,90.0,1.4799999999999998,579
145,0.95,$\rho=1.00$,50.0,7.5,65
146,0.95,$\rho=1.00$,75.0,3.75,193
147,0.95,$\rho=1.00$,90.0,1.4999999999999996,580
148,0.95,$\rho=1.00$,50.0,7.6,68
149,0.95,$\rho=1.00$,75.0,3.8,183
150,0.95,$\rho=1.00$,90.0,1.5199999999999996,552
151,0.95,$\rho=1.00$,50.0,7.7,62
152,0.95,$\rho=1.00$,75.0,3.85,177
153,0.95,$\rho=1.00$,90.0,1.5399999999999996,551
154,0.95,$\rho=1.00$,50.0,7.8,61
155,0.95,$\rho=1.00$,75.0,3.9,174
156,0.95,$\rho=1.00$,90.0,1.5599999999999996,534
157,0.95,$\rho=1.00$,50.0,7.9,60
158,0.95,$\rho=1.00$,75.0,3.95,178
159,0.95,$\rho=1.00$,90.0,1.5799999999999998,507
160,0.95,$\rho=1.00$,50.0,8.0,62
161,0.95,$\rho=1.00$,75.0,4.0,172
162,0.95,$\rho=1.00$,90.0,1.5999999999999996,484
163,0.95,$\rho=1.00$,50.0,8.1,58
164,0.95,$\rho=1.00$,75.0,4.05,158
165,0.95,$\rho=1.00$,90.0,1.6199999999999997,490
166,0.95,$\rho=1.00$,50.0,8.200000000000001,57
167,0.95,$\rho=1.00$,75.0,4.1000000000000005,159
168,0.95,$\rho=1.00$,90.0,1.6399999999999997,495
169,0.95,$\rho=1.00$,50.0,8.3,55
170,0.95,$\rho=1.00$,75.0,4.15,160
171,0.95,$\rho=1.00$,90.0,1.6599999999999997,470
172,0.95,$\rho=1.00$,50.0,8.4,56
173,0.95,$\rho=1.00$,75.0,4.2,157
174,0.95,$\rho=1.00$,90.0,1.6799999999999995,439
175,0.95,$\rho=1.00$,50.0,8.5,53
176,0.95,$\rho=1.00$,75.0,4.25,146
177,0.95,$\rho=1.00$,90.0,1.6999999999999997,449
178,0.95,$\rho=1.00$,50.0,8.600000000000001,50
179,0.95,$\rho=1.00$,75.0,4.300000000000001,147
180,0.95,$\rho=1.00$,90.0,1.7199999999999998,431
181,0.95,$\rho=1.00$,50.0,8.700000000000001,51
182,0.95,$\rho=1.00$,75.0,4.3500000000000005,147
183,0.95,$\rho=1.00$,90.0,1.7399999999999995,425
184,0.95,$\rho=1.00$,50.0,8.799999999999999,48
185,0.95,$\rho=1.00$,75.0,4.3999999999999995,141
186,0.95,$\rho=1.00$,90.0,1.7599999999999998,408
187,0.95,$\rho=1.00$,50.0,8.9,47
188,0.95,$\rho=1.00$,75.0,4.45,137
189,0.95,$\rho=1.00$,90.0,1.7799999999999996,418
190,0.95,$\rho=1.00$,50.0,9.0,48
191,0.95,$\rho=1.00$,75.0,4.5,131
192,0.95,$\rho=1.00$,90.0,1.7999999999999996,401
193,0.95,$\rho=1.00$,50.0,9.1,45
194,0.95,$\rho=1.00$,75.0,4.55,130
195,0.95,$\rho=1.00$,90.0,1.8199999999999998,398
196,0.95,$\rho=1.00$,50.0,9.2,44
197,0.95,$\rho=1.00$,75.0,4.6,126
198,0.95,$\rho=1.00$,90.0,1.8399999999999996,385
199,0.95,$\rho=1.00$,50.0,9.3,45
200,0.95,$\rho=1.00$,75.0,4.65,129
201,0.95,$\rho=1.00$,90.0,1.8599999999999994,372
202,0.95,$\rho=1.00$,50.0,9.4,44
203,0.95,$\rho=1.00$,75.0,4.7,125
204,0.95,$\rho=1.00$,90.0,1.8799999999999997,367
205,0.95,$\rho=1.00$,50.0,9.5,41
206,0.95,$\rho=1.00$,75.0,4.75,123
207,0.95,$\rho=1.00$,90.0,1.8999999999999997,358
208,0.95,$\rho=1.00$,50.0,9.6,41
209,0.95,$\rho=1.00$,75.0,4.8,121
210,0.95,$\rho=1.00$,90.0,1.9199999999999995,349
211,0.95,$\rho=1.00$,50.0,9.700000000000001,41
212,0.95,$\rho=1.00$,75.0,4.8500000000000005,115
213,0.95,$\rho=1.00$,90.0,1.9399999999999997,332
214,0.95,$\rho=1.00$,50.0,9.8,40
215,0.95,$\rho=1.00$,75.0,4.9,117
216,0.95,$\rho=1.00$,90.0,1.9599999999999995,349
217,0.95,$\rho=1.00$,50.0,9.9,38
218,0.95,$\rho=1.00$,75.0,4.95,110
