,Confidence,Effective Proportion,Average Accuracy,$\Delta$ Accuracy,Test Needed
0,0.95,$\rho=0.10$,50.0,1.0,35217
1,0.95,$\rho=0.10$,50.0,1.0999999999999999,29127
2,0.95,$\rho=0.10$,50.0,1.2,23870
3,0.95,$\rho=0.10$,50.0,1.3,20431
4,0.95,$\rho=0.10$,50.0,1.4000000000000001,17985
5,0.95,$\rho=0.10$,50.0,1.5,15119
6,0.95,$\rho=0.10$,50.0,1.6,13255
7,0.95,$\rho=0.10$,50.0,1.7000000000000002,11705
8,0.95,$\rho=0.10$,50.0,1.8000000000000003,10686
9,0.95,$\rho=0.10$,50.0,1.9,9693
10,0.95,$\rho=0.10$,50.0,2.0,8656
11,0.95,$\rho=0.10$,75.0,1.0,25607
12,0.95,$\rho=0.10$,50.0,2.1,7799
13,0.95,$\rho=0.10$,75.0,1.05,23443
14,0.95,$\rho=0.10$,50.0,2.1999999999999997,7216
15,0.95,$\rho=0.10$,75.0,1.0999999999999999,21894
16,0.95,$\rho=0.10$,50.0,2.3,6542
17,0.95,$\rho=0.10$,75.0,1.15,18603
18,0.95,$\rho=0.10$,50.0,2.4,6159
19,0.95,$\rho=0.10$,75.0,1.2,17788
20,0.95,$\rho=0.10$,50.0,2.5,5737
21,0.95,$\rho=0.10$,75.0,1.25,16425
22,0.95,$\rho=0.10$,50.0,2.6,5175
23,0.95,$\rho=0.10$,75.0,1.3,15638
24,0.95,$\rho=0.10$,50.0,2.7,4955
25,0.95,$\rho=0.10$,75.0,1.35,14126
26,0.95,$\rho=0.10$,50.0,2.8000000000000003,4406
27,0.95,$\rho=0.10$,75.0,1.4000000000000001,13149
28,0.95,$\rho=0.10$,50.0,2.9000000000000004,4088
29,0.95,$\rho=0.10$,75.0,1.4500000000000002,12601
30,0.95,$\rho=0.10$,50.0,3.0,3864
31,0.95,$\rho=0.10$,75.0,1.5,11561
32,0.95,$\rho=0.10$,50.0,3.1,3677
33,0.95,$\rho=0.10$,75.0,1.55,10925
34,0.95,$\rho=0.10$,50.0,3.2,3466
35,0.95,$\rho=0.10$,75.0,1.6,9759
36,0.95,$\rho=0.10$,50.0,3.3000000000000003,3324
37,0.95,$\rho=0.10$,75.0,1.6500000000000001,9689
38,0.95,$\rho=0.10$,50.0,3.4000000000000004,3080
39,0.95,$\rho=0.10$,75.0,1.7000000000000002,8950
40,0.95,$\rho=0.10$,50.0,3.5000000000000004,2898
