,Actual Classification Accuracy,Predicted Accuracy,lang,dim
0,0.3233333333,0.5334003344256961,IT,100
1,0.241,0.5160452165757146,IT,200
2,0.6833333333,0.6061419409086314,IT,100
3,0.682,0.5859299019581116,IT,200
4,0.4606666667,0.6317034142956831,IT,100
5,0.431,0.6135463894163806,IT,200
6,0.675,0.5277453463444938,IT,100
7,0.716,0.509851291018651,IT,200
8,0.4706666667,0.5934871294326979,DA,100
9,0.524,0.5718243044671538,DA,200
10,0.7013333333,0.6266189324020734,DA,100
11,0.7056666667,0.6050461483341327,DA,200
12,0.6093333333,0.6226131203979938,DA,100
13,0.6133333333,0.6041745444425964,DA,200
14,0.74,0.599175351239971,DA,100
15,0.751,0.5803633009400183,DA,200
